ORF/Gene number and name	Start coordinate	End coordinate	Strand	Total abundance (nts)	Total abundance (reads)	RPKM (per this replicon)	RPKMO (per this replicon)	Total abundance (nts)	Total abundance (reads)	RPKM (per this replicon)	RPKMO (per this replicon)	Total abundance (nts)	Total abundance (reads)	RPKM (per this replicon)	RPKMO (per this replicon)	Total abundance (nts)	Total abundance (reads)	RPKM (per this replicon)	RPKMO (per this replicon)	Total abundance (nts)	Total abundance (reads)	RPKM (per this replicon)	RPKMO (per this replicon)	Total abundance (nts)	Total abundance (reads)	RPKM (per this replicon)	RPKMO (per this replicon)	Total abundance (nts)	Total abundance (reads)	RPKM (per this replicon)	RPKMO (per this replicon)	Total abundance (nts)	Total abundance (reads)	RPKM (per this replicon)	RPKMO (per this replicon)	Total abundance (nts)	Total abundance (reads)	RPKM (per this replicon)	RPKMO (per this replicon)	Total abundance (nts)	Total abundance (reads)	RPKM (per this replicon)	RPKMO (per this replicon)
VC1096_hypothetical_protein	1164422	1165369	+	4600	61	1.16943	10.6428	8896	88	1.89958	20.2146	11209	147	2.23367	13.242	32344	320	5.23615	27.4221	10266	135	2.04018	14.1111	14212	187	3.02273	14.7386	60	2	2.00165	51.0713	508	16	3.7305	119.428	275	9	2.01189	29.7138	347	11	1.45731	21.7703
VC1097_phosphate_acetyltransferase	1165467	1167611	-	543866	7156	61.0706	555.796	963875	9543	90.9092	967.422	2.35E+06	30917	206.815	1226.08	3.54E+06	35020	252.918	1324.55	1.06E+06	13987	93.3085	645.376	1.10E+06	14444	103.128	502.843	1512	47	22.28	568.463	3605	112	11.6932	374.345	12644	391	40.8585	603.441	21667	671	40.1926	600.425
VC1098_acetate_kinase	1167747	1168943	-	390510	5138	78.6078	715.401	799901	7920	135.244	1439.21	1.09E+06	14340	171.959	1019.44	1.72E+06	16990	219.958	1151.93	603463	7940	94.959	656.792	901603	11863	151.837	740.345	283	9	7.47555	190.735	1960	61	11.3967	364.851	4178	129	24.2025	357.447	7855	243	26.1209	390.211
VC1099_hypothetical_protein	1169290	1169748	+	36353	478	19.1091	173.91	42252	418	18.6549	198.519	58721	773	24.1952	143.439	65658	650	21.9781	115.101	74377	979	30.5626	211.388	100179	1318	44.0561	214.813	35	1	2.4143	61.5996	679	21	10.31	330.062	2768	86	41.8719	618.408	5529	171	48.0124	717.243
VC1100_hypothetical_protein	1169871	1170281	-	3743	49	2.19786	20.0025	4441	44	2.19033	23.3086	4095	54	1.88483	11.174	8488	84	3.17388	16.6218	6933	91	3.1824	22.0113	7197	95	3.53559	17.2392	38	1	2.92811	74.7094	291	9	4.93585	158.016	176	5	2.97407	43.9242	111	3	1.07674	16.0851
VC1101_hypothetical_protein	1170719	1171684	+	70513	928	17.5917	160.1	74777	740	15.6694	166.748	74871	985	14.6416	86.8009	131834	1305	20.9444	109.687	116922	1538	22.8027	157.716	174232	2293	36.366	177.317	623	19	20.3962	520.398	1808	56	13.0294	417.121	3129	97	22.4647	331.782	4262	132	17.5654	262.404
VC1102_ABC_transporter,_permease_protein,_putative	1171760	1172743	+	33329	439	8.1627	74.2878	16241	161	3.34096	35.5532	26645	351	5.11521	30.3249	28503	282	4.44535	23.2806	50951	670	9.75475	67.4695	59541	783	12.1999	59.4857	231	7	7.42414	189.423	963	30	6.81281	218.104	1134	35	7.99249	118.041	1644	51	6.65152	99.3649
VC1103_ABC_transporter,_ATP-binding_protein	1172740	1173534	+	64784	852	19.6432	178.771	27024	268	6.88242	73.2401	40587	534	9.64645	57.1879	35255	349	6.8072	35.6497	78213	1029	18.5385	128.223	103745	1365	26.3173	128.321	293	9	11.6583	297.456	834	26	7.30464	233.85	722	22	6.29998	93.0447	1120	35	5.61009	83.8074
VC1104_GGDEF_family_protein	1173701	1175170	+	31962	421	5.23814	47.6717	25246	250	3.47522	36.982	23956	315	3.07747	18.2444	49050	486	5.11901	26.8086	13881	183	1.77834	12.3001	21792	287	2.98793	14.5688	110	3	2.3657	60.3596	590	18	2.79308	89.4173	236	7	1.11304	16.4386	430	13	1.16418	17.3913
VC1105_hypothetical_protein	1175203	1176174	-	27512	362	6.82131	62.08	10618	105	2.21124	23.5312	20968	276	4.07511	24.1588	13414	133	2.11791	11.0916	7098	93	1.37573	9.51535	13905	183	2.88434	14.0638	0.5	0	0.0162682	0.415074	481	15	3.44492	110.285	164	5	1.17016	17.2822	147	5	0.602103	8.99462
VC1106_preprotein_translocase_SecA_subunit-related_protein	1176331	1176960	+	23105	304	8.84342	80.483	15044	149	4.83642	51.4674	38514	507	11.555	68.5024	57836	573	14.0967	73.8251	17840	235	5.33778	36.9192	29452	388	9.43102	45.9848	69	2	3.46566	88.4247	569	18	6.29093	201.397	691	21	7.61114	112.409	1193	37	7.54332	112.687
VC1107_outer-membrane_lipoprotein_carrier_protein	1177056	1177652	+	58917	775	23.799	216.592	58523	579	19.856	211.3	75914	999	24.0368	142.5	85386	845	21.9639	115.026	58396	768	18.4397	127.54	81844	1077	27.6589	134.862	74	2	3.92259	100.083	495	15	5.7758	184.906	696	22	8.09069	119.492	1770	55	11.8114	176.446
VC1108_recombination_factor_protein_RarA	1177677	1179026	+	80357	1057	14.3409	130.515	72438	717	10.8584	115.551	94755	1247	13.2554	78.5829	93720	928	10.651	55.7798	57619	758	8.03842	55.5984	86950	1144	12.9823	63.3005	372	12	8.71202	222.283	965	30	4.97472	159.26	1734	54	8.90552	131.526	3065	95	9.03631	134.991
VC1109_hypothetical_protein	1179026	1179121	+	3662	48	9.28025	84.4585	3344	33	7.11794	75.7465	7966	105	15.8241	93.8112	19090	189	30.8071	161.339	7133	94	14.1308	97.7365	11070	146	23.4703	114.439	0.5	0	0.166278	4.2425	394	12	28.842	923.345	798	25	58.1971	859.516	924	29	38.6831	577.874
VC1110_seryl-tRNA_synthetase	1179130	1180437	+	252990	3329	46.6007	424.108	307744	3047	47.613	506.68	327389	4308	47.2704	280.238	874610	8660	102.591	537.273	458597	6034	66.0347	456.734	817493	10756	125.98	614.269	638	20	15.4217	393.478	1454	45	7.73646	247.674	6730	208	35.6748	526.883	11587	359	35.2588	526.721
VC1111_adenosylmethionine--8-amino-7-oxononanoate_transaminase	1180544	1181830	-	5905	78	1.10546	10.0607	3286	33	0.5167	5.49853	4410	58	0.647141	3.8365	10874	108	1.29633	6.78898	20062	264	2.93596	20.3068	39648	522	6.20976	30.2782	0.5	0	0.0122834	0.313404	638	20	3.45011	110.451	2617	81	14.0989	208.227	4145	128	12.8191	191.5
VC1112_biotin_synthase	1181957	1183009	+	19716	259	4.51199	41.0631	9030	89	1.73574	18.4711	18394	242	3.2996	19.5613	33053	327	4.81686	25.2262	67707	891	12.1125	83.7772	180611	2376	34.5799	168.608	281	9	8.43876	215.311	988	31	6.53122	209.09	6817	211	44.8952	663.059	12975	402	49.0528	732.785
VC1113_8-amino-7-oxononanoate_synthase	1182993	1184147	+	10408	137	2.17133	19.7611	4436	44	0.777316	8.27191	14610	192	2.38916	14.1639	6246	62	0.829783	4.34563	33334	439	5.43624	37.6002	68441	901	11.9455	58.2452	0.5	0	0.0136884	0.349252	580	18	3.49523	111.896	1628	50	9.77397	144.352	3294	102	11.3525	169.591
VC1114_biotin_synthesis_protein_BioC	1184009	1184947	+	37460	493	9.61457	87.5011	88898	880	19.1647	203.943	50585	666	10.177	60.3332	129508	1282	21.1671	110.854	65099	857	13.0614	90.3399	116621	1534	25.042	122.102	30	1	1.01043	25.7806	740	23	5.48633	175.639	1610	50	11.8917	175.63	2856	88	12.1095	180.901
VC1115_dithiobiotin_synthetase	1184923	1185639	+	74849	985	25.1674	229.045	189967	1881	53.6509	570.933	66860	880	17.622	104.47	284973	2822	61.0182	319.556	125371	1650	32.9535	227.925	207472	2730	58.3635	284.575	189	6	8.33944	212.777	1151	36	11.1793	357.893	1412	44	13.6629	201.789	2311	72	12.8369	191.766
VC1116_hypothetical_protein	1185721	1185930	-	168884	2222	194.539	1770.48	12031	119	11.6404	123.873	2045	27	1.8465	10.9467	850	8	0.623507	3.26534	1832	24	1.64967	11.41	5750	76	5.54136	27.0191	200	6	30.2323	771.363	456	14	15.173	485.747	2006	62	66.4978	982.108	3613	112	68.7534	1027.09
VC1117_heat_shock_protein_HtpX	1186157	1187020	+	270546	3560	75.4736	686.877	140488	1391	32.9185	350.307	105490	1388	23.0676	136.753	129232	1280	22.9577	120.231	109344	1439	23.8452	164.927	193822	2550	45.2363	220.568	82	3	3.00186	76.5911	1236	38	9.96004	318.859	13043	404	104.71	1546.47	21297	659	98.1477	1466.2
VC1118_transcriptional_regulator,_putative	1187230	1187658	+	4884	64	2.74724	25.0023	2725	27	1.28746	13.7007	63026	829	27.7893	164.746	30354	301	10.8728	56.9414	40234	529	17.6916	122.365	40220	529	18.9275	92.2886	0.5	0	0.0369075	0.941676	166	5	2.69723	86.3486	63	2	1.01981	15.0616	276	9	2.56471	38.3134
VC1119_short_chain_dehydrogenase	1187655	1188380	+	5490	72	1.82305	16.5914	3559	35	0.992663	10.5635	77300	1017	20.1207	119.283	27763	275	5.8708	30.7457	48324	636	12.5442	86.7627	30949	407	8.59812	41.9236	0.5	0	0.0217881	0.555914	487	15	4.67137	149.549	155	5	1.48121	21.876	588	18	3.22561	48.1864
VC1120_hypothetical_protein	1188391	1189671	+	18028	237	3.3908	30.8593	17560	174	2.77413	29.5212	105743	1391	15.5899	92.4229	57345	568	6.86838	35.9701	110925	1460	16.3093	112.805	83738	1102	13.1767	64.2484	151	5	3.72696	95.0916	677	21	3.67817	117.752	1019	32	5.51552	81.459	1966	61	6.10866	91.2554
VC1121_hypothetical_protein	1189671	1190480	+	14125	186	4.20344	38.255	12346	122	3.08595	32.8396	42676	562	9.95489	59.0164	39736	393	7.53016	39.4359	53377	702	12.4172	85.8843	45055	593	11.2173	54.6946	93	3	3.6318	92.6637	770	24	6.61905	211.901	669	21	5.72928	84.616	1335	41	6.56304	98.0432
VC1122_cyclopropane-fatty-acyl-phospholipid_synthase	1190413	1191711	+	18486	243	3.42873	31.2045	16230	161	2.52846	26.9069	54480	717	7.9207	46.957	67537	669	7.97693	41.7757	117806	1550	17.0809	118.141	114503	1507	17.7679	86.6347	161	5	3.91867	99.9831	517	16	2.76993	88.6762	1886	58	10.0668	148.676	2110	65	6.46518	96.5812
VC1123_hypothetical_protein	1191714	1192253	+	3852	51	1.72053	15.6584	4446	44	1.66799	17.7501	5528	73	1.93544	11.4741	9511	94	2.70524	14.1675	16269	214	5.68053	39.2898	14981	197	5.59818	27.2962	0.5	0	0.0293068	0.74775	317	10	4.09	130.937	1011	31	12.9953	191.927	1786	55	13.1785	196.869
VC1124_hypothetical_protein	1192186	1192752	+	8549	112	3.63633	33.0939	14689	145	5.24792	55.8465	7872	104	2.62464	15.5599	10954	108	2.96705	15.5386	18122	238	6.02569	41.6771	16680	219	5.93573	28.9421	0.5	0	0.0279088	0.71208	371	11	4.55838	145.931	1180	37	14.444	213.324	2430	75	17.0751	255.079
VC1125_hypothetical_protein	1192749	1193276	+	17853	235	8.15578	74.2248	34510	342	13.2418	140.914	19308	254	6.91398	40.9887	20858	207	6.06779	31.7774	33169	436	11.8451	81.9275	41851	551	15.9952	77.9911	25	1	1.49871	38.2388	291	9	3.84004	122.934	659	20	8.66357	127.953	637	20	4.8073	71.8148
VC1126_adenylosuccinate_lyase	1193367	1194737	-	320760	4221	56.3669	512.989	241622	2392	35.6638	379.521	321455	4230	44.2793	262.505	240444	2381	26.9068	140.913	209303	2754	28.7522	198.867	406830	5353	59.8118	291.637	318	10	7.33322	187.103	1080	33	5.48222	175.507	3120	97	15.7782	233.028	5180	160	15.0377	224.644
VC1127_hypothetical_protein	1194795	1195412	-	43910	578	17.1334	155.929	60117	595	19.7026	209.668	94231	1240	28.8211	170.862	69068	684	17.1617	89.8769	41711	549	12.7228	87.9982	61655	811	20.1269	98.137	0.5	0	0.0256019	0.653221	667	21	7.51785	240.675	1240	38	13.9238	205.642	1720	53	11.087	165.626
VC1128_tRNA-specific_2-thiouridylase_MnmA	1195435	1196553	-	226767	2984	48.8318	444.413	209703	2076	37.9293	403.629	331468	4361	55.9501	331.694	399779	3958	54.821	287.101	178160	2344	29.9906	207.432	303919	3999	54.7534	266.972	261	8	7.37542	188.18	1274	39	7.92466	253.699	2218	69	13.7449	202.999	3087	96	10.9816	164.051
VC1129_inosine-guanosine_kinase	1196815	1198119	+	59094	778	10.9101	99.292	66975	663	10.386	110.524	41711	549	6.03635	35.7858	73796	731	8.67609	45.4372	26242	345	3.78736	26.1955	62207	819	9.60852	46.8502	170	5	4.11869	105.086	863	27	4.60242	147.341	256	8	1.36014	20.088	532	16	1.62258	24.2392
VC1130_DNA-binding_protein_H-NS	1198167	1198580	-	444462	5848	259.089	2357.94	215893	2138	105.706	1124.89	123496	1625	56.4292	334.534	421637	4175	156.515	819.681	281601	3705	128.322	887.549	501785	6602	244.716	1193.21	1442	45	110.307	2814.43	1508	47	25.3924	812.91	1074	33	18.0168	266.09	3109	96	29.9394	447.255
VC1131_hypothetical_protein	1199268	1200869	+	79147	1041	11.9017	108.316	83072	822	10.4924	111.656	86390	1137	10.1829	60.3684	87370	865	8.36642	43.8154	29848	393	3.50866	24.2679	47459	624	5.97066	29.1123	163	5	3.2165	82.0676	1034	32	4.49141	143.787	637	20	2.75658	40.712	1339	41	3.3263	49.6906
VC1132_ATP_phosphoribosyltransferase	1201260	1202174	+	19783	260	5.21088	47.4236	29179	289	6.45559	68.698	76136	1002	15.7197	93.1926	109580	1085	18.3803	96.259	1.06E+06	13987	218.885	1513.94	949079	12488	209.147	1019.78	38	1	1.31349	33.5129	935	29	7.11408	227.749	494	15	3.74458	55.3039	1157	36	5.03454	75.2094
VC1133_histidinol_dehydrogenase	1202179	1203474	+	17313	228	3.2186	29.2921	24287	240	3.79241	40.3575	70952	934	10.3394	61.2961	82362	815	9.75047	51.0638	657867	8656	95.606	661.266	485964	6394	75.5839	368.54	0.5	0	0.012198	0.311226	1063	33	5.70843	182.749	566	18	3.02809	44.722	1418	44	4.35491	65.0566
VC1134_histidinol-phosphate_aminotransferase	1203478	1204518	+	12844	169	2.97325	27.0592	18685	185	3.63305	38.6616	31973	421	5.80165	34.3944	50922	504	7.50656	39.3123	213879	2814	38.7036	267.697	183552	2415	35.5484	173.331	27	1	0.820197	20.9269	934	29	6.24549	199.942	840	26	5.59588	82.6458	1196	37	4.57373	68.3255
VC1135_imidazole_glycerol-phosphate_dehydratase/histidinol_phosphatase	1204570	1205643	+	14699	193	3.29802	30.0149	14511	144	2.7347	29.1016	29417	387	5.17368	30.6716	44417	440	6.34626	33.2358	154528	2033	27.1034	187.463	137826	1814	25.8718	126.148	112	4	3.29766	84.1383	1184	37	7.67371	245.665	518	16	3.34466	49.3975	784	24	2.90595	43.4111
VC1136_imidazole_glycerol_phosphate_synthase_subunit_HisH	1205643	1206254	+	15610	205	6.15073	55.9771	18346	182	6.07172	64.613	22623	298	6.98731	41.4235	35827	355	8.98955	47.0788	119282	1570	36.741	254.122	133994	1763	44.1712	215.374	0.5	0	0.0258533	0.659635	369	11	4.19989	134.455	267	8	3.02756	44.7141	517	16	3.36529	50.2729
VC1137_1-(5-phosphoribosyl)-5-%5B(5-phosphoribosylamino)methylideneamino%5D_imidazole-4-carboxamide_isomerase	1206297	1207034	+	11403	150	3.72492	33.9	10817	107	2.96791	31.5834	23213	305	5.94381	35.2372	28443	282	5.91666	30.9859	86061	1132	21.9764	152.001	110085	1448	30.0854	146.693	82	3	3.51507	89.6854	243	8	2.29294	73.4057	455	14	4.27727	63.1711	611	19	3.29721	49.2559
VC1138_imidazole_glycerol_phosphate_synthase_subunit_HisF	1207016	1207789	+	11455	151	3.56764	32.4687	11569	115	3.02641	32.206	13827	182	3.37559	20.0118	20065	199	3.9795	20.8409	82591	1087	20.1081	139.079	110301	1451	28.7405	140.136	0.5	0	0.0204352	0.521394	554	17	4.98406	159.559	356	11	3.19075	47.1243	851	26	4.37847	65.4086
VC1139_bifunctional_phosphoribosyl-AMP_cyclohydrolase/phosphoribosyl-ATP_pyrophosphatase_protein	1207786	1208418	+	15943	210	6.0732	55.2715	9936	98	3.17912	33.831	24524	323	7.32277	43.4122	38144	378	9.2529	48.458	124429	1637	37.0528	256.279	152765	2010	48.6857	237.387	122	4	6.09861	155.603	307	10	3.37812	108.147	341	11	3.73817	55.2093	396	12	2.49201	37.2274
VC1140_pseudouridine_synthase_family_1_protein	1208619	1209491	-	16957	223	4.68163	42.607	11553	114	2.67911	28.5101	25952	341	5.61637	33.296	53820	533	9.46228	49.5545	15974	210	3.44758	23.8454	30973	408	7.15421	34.8832	143	4	5.18093	132.189	813	25	6.48376	207.57	188	6	1.4937	22.0605	212	7	0.966923	14.4446
VC1141_isocitrate_dehydrogenase	1209652	1211877	+	402172	5292	43.5158	396.032	207984	2059	18.9022	201.15	659647	8680	55.9478	331.68	1.46E+06	14469	100.695	527.346	1.82E+06	23998	154.266	1066.99	2.40E+06	31625	217.573	1060.87	3122	98	44.3293	1131.04	4541	141	14.193	454.373	26637	825	82.9426	1224.98	44164	1367	78.9425	1179.3
VC1142_cold_shock-like_protein_CspD	1211976	1212206	-	106200	1397	111.163	1011.69	25428	252	22.3561	237.905	5736	75	4.70633	27.901	37635	373	25.0861	131.377	78710	1036	64.4049	445.462	161248	2122	141.209	688.52	57	2	7.82952	199.766	259	8	7.83114	250.705	1819	56	54.7933	809.244	2407	75	41.6218	621.775
VC1143_ATP-dependent_Clp_protease_adaptor_protein_ClpS	1212670	1212990	+	53849	709	40.5128	368.703	77992	772	49.2847	524.469	156255	2056	92.1478	546.288	442900	4385	212.19	1111.25	212595	2797	125.032	864.791	343741	4523	216.36	1054.95	70	2	6.91092	176.329	667	21	14.4954	464.052	3208	99	69.4555	1025.79	6042	187	75.0937	1121.8
VC1144_ATP-dependent_Clp_protease_ATP-binding_subunit	1213029	1215299	+	233421	3071	24.7559	225.301	311945	3089	27.7884	295.714	479199	6305	39.8374	236.172	1.26E+06	12493	85.2184	446.294	801072	10540	66.4144	459.361	1.04E+06	13703	92.4057	450.561	1301	41	18.1067	461.984	3671	114	11.2464	360.039	16663	516	50.8569	751.108	30492	944	53.4235	798.077
VC1145_hypothetical_protein	1215368	1217044	-	66822	879	9.59865	87.3563	59389	588	7.16545	76.2521	50175	660	5.64956	33.4928	62154	615	5.68543	29.775	43730	575	4.91046	33.9636	79964	1052	9.60982	46.8566	237	7	4.46748	113.985	1047	32	4.34436	139.08	1185	37	4.89854	72.3468	2155	67	5.11382	76.3938
VC1146_glutaredoxin_1	1217246	1217509	-	51784	681	47.4029	431.408	22622	224	17.3935	185.095	33123	436	23.767	140.9	34676	343	20.2135	105.859	37545	494	26.8666	185.825	44552	586	34.1198	166.365	136	4	16.337	416.829	251	8	6.63699	212.476	328	10	8.64053	127.612	522	16	7.89382	117.923
VC1147_iron-containing_alcohol_dehydrogenase	1217797	1219065	+	119147	1568	22.6219	205.879	235123	2328	37.4962	399.021	24006	316	3.57274	21.1806	84407	836	10.2053	53.446	116267	1530	17.2566	119.356	101441	1335	16.1135	78.5677	270	8	6.72717	171.64	1073	33	5.88483	188.396	4151	129	22.6807	334.972	7374	228	23.129	345.517
VC1148_DNA-binding_transcriptional_regulator_HexR	1219156	1220010	-	145551	1915	41.032	373.427	97878	969	23.176	246.631	159223	2095	35.1843	208.586	343532	3401	61.6706	322.973	404596	5324	89.1622	616.697	411299	5412	97.0051	472.987	372	12	13.7617	351.124	1351	42	11.0015	352.199	4433	137	35.9635	531.147	6154	191	28.6597	428.139
VC1149_glutamate_decarboxylase,_putative	1220318	1221964	-	67041	882	9.80563	89.2399	44299	439	5.44222	57.9141	221333	2912	25.3757	150.437	192988	1911	17.975	94.1362	125207	1647	14.3158	99.0164	193375	2544	23.6628	115.377	344	11	6.60262	168.463	1243	38	5.25163	168.125	2288	71	9.63049	142.233	4628	143	11.1824	167.051
VC1150_hypothetical_protein	1222074	1222679	-	43104	567	17.1525	156.103	49892	494	16.6758	177.458	107710	1417	33.5971	199.177	137593	1362	34.8666	182.599	73678	969	22.9192	158.522	128033	1685	42.6247	207.834	300	9	15.6658	399.706	1065	33	12.2419	391.909	2322	72	26.5907	392.719	3090	96	20.3131	303.451
VC1151_hypothetical_protein	1222772	1223677	-	8916	117	2.37185	21.5859	3012	30	0.673005	7.16187	28110	370	5.86156	34.7496	23836	236	4.03788	21.1466	17928	236	3.72821	25.7864	22640	298	5.03875	24.5684	28	1	0.977456	24.9393	550	17	4.22637	135.302	472	15	3.6134	53.3664	652	20	2.86531	42.804
VC1152_hypothetical_protein	1223698	1224633	-	48020	632	12.3645	112.528	34055	337	7.36514	78.3771	119299	1570	24.0783	142.746	164413	1628	26.9583	141.182	97935	1289	19.7126	136.344	124132	1633	26.7403	130.383	115	4	3.88574	99.1429	795	25	5.91301	189.298	1774	55	13.1451	194.141	2607	81	11.0892	165.659
VC1153_hypothetical_protein	1224975	1225583	+	41377	544	16.384	149.109	40763	404	13.5573	144.272	18859	248	5.85351	34.7019	66584	659	16.7894	87.9271	63604	837	19.6878	136.172	68853	906	22.8094	111.216	134	4	6.96288	177.655	572	18	6.54253	209.452	2649	82	30.1857	445.813	4833	150	31.6145	472.278
VC1154_hypothetical_protein	1225679	1226227	-	133683	1759	58.7301	534.496	127295	1260	46.9724	499.863	153392	2018	52.823	313.155	287607	2848	80.4614	421.381	178230	2345	61.2093	423.359	184990	2434	67.9927	331.526	439	14	25.3088	645.742	1310	41	16.6243	532.209	7529	233	95.1873	1405.83	12681	393	92.0334	1374.86
VC1155_response_regulator	1226418	1226963	-	25354	334	11.1999	101.929	21297	211	7.90194	84.0895	7995	105	2.76836	16.4119	33187	329	9.33555	48.8909	19582	258	6.76203	46.7701	29192	384	10.7885	52.6038	32	1	1.85499	47.3291	505	16	6.44389	206.294	2913	90	37.0311	546.914	3820	118	27.8766	416.439
VC1156_sensor_histidine_kinase	1226912	1228207	-	42630	561	7.9252	72.1264	46418	460	7.24817	77.1323	14784	195	2.15439	12.772	50859	504	6.02097	31.5322	53105	699	7.7176	53.3794	45902	604	7.13932	34.8106	244	8	5.95262	151.878	1656	51	8.89291	284.696	3259	101	17.4356	257.507	5458	169	16.7624	250.408
VC1157_response_regulator	1228096	1228866	-	32392	426	10.1277	92.1713	49853	494	13.0922	139.322	11556	152	2.83216	16.7902	28409	281	5.65632	29.6225	51586	679	12.6083	87.2066	38373	505	10.0376	48.9424	280	9	11.4883	293.118	869	27	7.84842	251.258	1425	44	12.8217	189.365	2961	92	15.294	228.472
VC1158_hypothetical_protein	1229089	1230354	+	112208	1476	21.3549	194.349	75650	749	12.0929	128.688	206072	2711	30.7418	182.249	409922	4059	49.6797	260.176	351974	4631	52.3645	362.183	465129	6120	74.059	361.104	68	2	1.69827	43.3305	1683	52	9.25224	296.2	2904	90	15.9048	234.899	4858	150	15.2735	228.167
VC1159_phosphoserine_aminotransferase	1230431	1231570	+	116804	1537	24.6887	224.689	74463	737	13.2199	140.681	173497	2283	28.7455	170.414	413032	4089	55.5941	291.15	392555	5165	64.8625	448.627	674522	8875	119.28	581.597	263	8	7.29491	186.126	1344	42	8.20595	262.704	2783	86	16.9282	250.014	6018	186	21.0136	313.916
VC1160_hypothetical_protein	1231651	1232640	-	18401	242	4.4793	40.7656	35844	355	7.32878	77.9902	82820	1090	15.803	93.6864	65135	645	10.0969	52.8779	39140	515	7.44803	51.5149	33294	438	6.78054	33.0613	205	6	6.54855	167.083	1319	41	9.27474	296.92	1041	32	7.29251	107.703	1722	53	6.92483	103.448
VC1161_gonadoliberin_III-related_protein	1232640	1234148	-	29980	394	4.78625	43.5591	45125	447	6.05101	64.3926	93532	1231	11.7047	69.39	72880	722	7.40927	38.8028	42646	561	5.32223	36.8116	45482	598	6.07481	29.6202	369	12	7.73059	197.242	1450	45	6.68682	214.071	2163	67	9.93751	146.768	4327	134	11.4119	170.479
VC1162_hypothetical_protein	1234157	1234894	-	9584	126	3.13072	28.4923	10845	107	2.97559	31.6652	19710	259	5.04685	29.9197	17264	171	3.59122	18.8075	7122	94	1.81866	12.5789	10362	136	2.83185	13.8078	307	10	13.1601	335.773	967	30	9.12457	292.113	650	20	6.11038	90.2445	1659	51	8.95265	133.741
VC1163_hypothetical_protein	1235014	1235985	-	39529	520	9.8008	89.196	47035	466	9.79521	104.237	41943	552	8.15157	48.3257	25140	249	3.96931	20.7875	16658	219	3.22865	22.3312	19297	254	4.00281	19.5173	102	3	3.31871	84.6752	622	19	4.45476	142.614	80	2	0.570812	8.43035	540	17	2.21181	33.0415
VC1164_hypothetical_protein	1236097	1236837	-	33017	434	10.7416	97.7585	47510	470	12.9827	138.157	29345	386	7.48348	44.365	34544	342	7.15665	37.4798	13062	172	3.32196	22.9766	22607	297	6.15327	30.0027	0.5	0	0.0213465	0.544645	554	17	5.20632	166.675	309	10	2.893	42.7269	258	8	1.38663	20.7144
VC1165_hypothetical_protein	1236963	1237832	-	5360	71	1.48494	13.5143	4270	42	0.993619	10.5737	6786	89	1.47365	8.73639	15575	154	2.74775	14.3901	9687	127	2.09791	14.5103	9427	124	2.18499	10.6538	0.5	0	0.0181777	0.463794	612	19	4.89762	156.792	147	5	1.17198	17.309	355	11	1.62473	24.2713
VC1166_aspartyl-tRNA_synthetase	1238124	1239899	+	222090	2922	30.1228	274.144	299575	2966	34.1286	363.184	503450	6624	53.5253	317.319	649202	6428	56.0725	293.655	337667	4443	35.802	247.627	492833	6485	55.9237	272.679	638	20	11.3556	289.733	1871	58	7.33042	234.675	5341	165	20.8471	307.892	9539	295	21.3736	319.293
